,region,hour,region_hour_mean,region_hour_std,day_of_week,region_dow_mean,region_dow_std
4353,25,21,181.375,46.555424583388074,6,146.04166666666666,91.1885782397703
4354,25,22,150.7685185185185,49.41134536539416,0,186.98307291666666,119.78914972177726
4355,25,22,150.7685185185185,49.41134536539416,1,210.5234375,133.6481280667866
4356,25,22,150.7685185185185,49.41134536539416,2,217.72054794520548,139.642199020564
4357,25,22,150.7685185185185,49.41134536539416,3,225.52529761904762,136.78148166215232
4358,25,22,150.7685185185185,49.41134536539416,4,217.55989583333334,129.16529359751627
4359,25,22,150.7685185185185,49.41134536539416,5,166.80989583333334,111.78525373586743
4360,25,22,150.7685185185185,49.41134536539416,6,146.04166666666666,91.1885782397703
4361,25,23,107.38888888888889,47.245195810069234,0,186.98307291666666,119.78914972177726
4362,25,23,107.38888888888889,47.245195810069234,1,210.5234375,133.6481280667866
4363,25,23,107.38888888888889,47.245195810069234,2,217.72054794520548,139.642199020564
4364,25,23,107.38888888888889,47.245195810069234,3,225.52529761904762,136.78148166215232
4365,25,23,107.38888888888889,47.245195810069234,4,217.55989583333334,129.16529359751627
4366,25,23,107.38888888888889,47.245195810069234,5,166.80989583333334,111.78525373586743
4367,25,23,107.38888888888889,47.245195810069234,6,146.04166666666666,91.1885782397703
4368,26,0,63.07272727272727,47.553998932222584,0,149.0859375,96.97423902957453
4369,26,0,63.07272727272727,47.553998932222584,1,160.8671875,100.2676369834185
4370,26,0,63.07272727272727,47.553998932222584,2,163.86301369863014,101.528917687069
4371,26,0,63.07272727272727,47.553998932222584,3,173.91964285714286,103.36843701805837
4372,26,0,63.07272727272727,47.553998932222584,4,172.2421875,98.26649337312323
4373,26,0,63.07272727272727,47.553998932222584,5,152.90755208333334,106.80008762794894
4374,26,0,63.07272727272727,47.553998932222584,6,130.34895833333334,86.10400066090496
4375,26,1,40.75909090909091,42.41608593684407,0,149.0859375,96.97423902957453
4376,26,1,40.75909090909091,42.41608593684407,1,160.8671875,100.2676369834185
4377,26,1,40.75909090909091,42.41608593684407,2,163.86301369863014,101.528917687069
4378,26,1,40.75909090909091,42.41608593684407,3,173.91964285714286,103.36843701805837
